raw_ingredient,normalized_ingredient,occurrence_count,suggested_canonical_molecule,confidence_score,review_status
"Each 100ml contains: Chorphenamine Maleate ....100mg,Terpin hydrate ....200mg,Potassium bicarbonate .....2mg,Ammonium chloride.....500mg, Tincture senega.....1ml , Menthol.......20mg, Ephedrine HCI...","Each 100ml Contains: Chorphenamine Maleate ....100mg,terpin Hydrate ....200mg,potassium Bicarbonate .....2mg,ammonium Chloride.....500mg, Tincture Senega.....1ml , Menthol.......20mg, Ephedrine Hci...",15,"Each 100ml contains: Chorphenamine Maleate ....100mg,Terpin hydrate ....200mg,Potassium bicarbonate .....2mg,Ammonium chloride.....500mg, Tincture senega.....1ml , Menthol.......20mg, Ephedrine HCI...",0.99,auto_candidate
Each 5ml contains: Cefixime (as Trihydrate),Each 5ml Contains: Cefixime (as Trihydrate),15,Each 5ml contains: Cefixime (as Trihydrate),0.99,auto_candidate
Each tablet contains: Betahistine (BP Specification),Each Tablet Contains: Betahistine (bp Specification),15,Each tablet contains: Betahistine (BP Specification),0.99,auto_candidate
Each1mlcontains:- (Cetirizine1.0mg),Each1mlcontains:- (cetirizine1.0mg),15,Each1mlcontains:- (Cetirizine1.0mg),0.99,auto_candidate
Each20gmsContains:- (Diclofenacdiethylammoniumsalt 0.2494gms),Each20gmscontains:- (diclofenacdiethylammoniumsalt 0.2494gms),15,"Each20gmsContains:- (PolymyxinB Sulphate10,000units, Bacitracinzinc500units)",0.99,auto_candidate
"Each20gmsContains:- (PolymyxinB Sulphate10,000units, Bacitracinzinc500units)","Each20gmscontains:- (polymyxinb Sulphate10,000units, Bacitracinzinc500units)",15,"Each20gmsContains:- (PolymyxinB Sulphate10,000units, Bacitracinzinc500units)",0.99,auto_candidate
Each2mlContains:- (AmikacinSulphate100mg),Each2mlcontains:- (amikacinsulphate100mg),15,Each2mlContains:- (TobramycinasSulphate20mg),0.99,auto_candidate
Each2mlContains:- (Gentamycin80mg),Each2mlcontains:- (gentamycin80mg),15,Each2mlContains:- (TobramycinasSulphate20mg),0.99,auto_candidate
Each2mlContains:- (Kanamycine500mg),Each2mlcontains:- (kanamycine500mg),15,Each2mlContains:- (TobramycinasSulphate20mg),0.99,auto_candidate
Each2mlContains:- (TobramycinasSulphate20mg),Each2mlcontains:- (tobramycinassulphate20mg),15,Each2mlContains:- (TobramycinasSulphate20mg),0.99,auto_candidate
Each4mlContains:- (Kanamycine1.0gm),Each4mlcontains:- (kanamycine1.0gm),15,Each4mlContains:- (Kanamycine1.0gm),0.99,auto_candidate
Each5mlcontains:- (Famotidine10mg),Each5mlcontains:- (famotidine10mg),15,Each5mlcontains:- (PromethazineHCl25mg),0.99,auto_candidate
Each5mlcontains:- (Ibuprofen100mg),Each5mlcontains:- (ibuprofen100mg),15,Each5mlcontains:- (PromethazineHCl25mg),0.99,auto_candidate
Each5mlcontains:- (IronIII HydroxidePolyMaltose 50mg),Each5mlcontains:- (ironiii Hydroxidepolymaltose 50mg),15,Each5mlcontains:- (PromethazineHCl25mg),0.99,auto_candidate
Each5mlcontains:- (MefenamicAcid50mg),Each5mlcontains:- (mefenamicacid50mg),15,Each5mlcontains:- (PromethazineHCl25mg),0.99,auto_candidate
Each5mlcontains:- (PromethazineHCl25mg),Each5mlcontains:- (promethazinehcl25mg),15,Each5mlcontains:- (PromethazineHCl25mg),0.99,auto_candidate
Each60mlContains:- (Minoxidil2%),Each60mlcontains:- (minoxidil2%),15,Each60mlContains:- (Minoxidil2%),0.99,auto_candidate
EachmlContains:- (Gentamycin40mg),Eachmlcontains:- (gentamycin40mg),15,EachmlContains:- (Gentamycin40mg),0.99,auto_candidate
EachTabletcontains: (Pantoprazole40mg),Eachtabletcontains: (pantoprazole40mg),15,EachTabletcontains:- (Paracetamol500mg),0.99,auto_candidate
EachTabletcontains:- (Famotidine20mg),Eachtabletcontains:- (famotidine20mg),15,EachTabletcontains:- (Paracetamol500mg),0.99,auto_candidate
EachTabletcontains:- (Fexofenadine120mg),Eachtabletcontains:- (fexofenadine120mg),15,EachTabletcontains:- (Paracetamol500mg),0.99,auto_candidate
EachTabletcontains:- (Fexofenadine180mg),Eachtabletcontains:- (fexofenadine180mg),15,EachTabletcontains:- (Paracetamol500mg),0.99,auto_candidate
EachTabletcontains:- (Ibuprofen200mg),Eachtabletcontains:- (ibuprofen200mg),15,EachTabletcontains:- (Paracetamol500mg),0.99,auto_candidate
EachTabletcontains:- (Mecobalamine500mcg),Eachtabletcontains:- (mecobalamine500mcg),15,EachTabletcontains:- (Paracetamol500mg),0.99,auto_candidate
EachTabletcontains:- (MefenamicAcid500mg),Eachtabletcontains:- (mefenamicacid500mg),15,EachTabletcontains:- (Paracetamol500mg),0.99,auto_candidate
EachTabletcontains:- (Meloxicam15mg),Eachtabletcontains:- (meloxicam15mg),15,EachTabletcontains:- (Paracetamol500mg),0.99,auto_candidate
EachTabletcontains:- (Meloxicam7.5mg),Eachtabletcontains:- (meloxicam7.5mg),15,EachTabletcontains:- (Paracetamol500mg),0.99,auto_candidate
EachTabletcontains:- (Paracetamol500mg),Eachtabletcontains:- (paracetamol500mg),15,EachTabletcontains:- (Paracetamol500mg),0.99,auto_candidate
EachVialContains:- (CefotaximeSodium1.0gm),Eachvialcontains:- (cefotaximesodium1.0gm),15,EachVialContains:- (Cepharadine500mg),0.99,auto_candidate
EachVialContains:- (CefotaximeSodium250mg),Eachvialcontains:- (cefotaximesodium250mg),15,EachVialContains:- (Cepharadine500mg),0.99,auto_candidate
EachVialContains:- (Ceftazidime1.0gm),Eachvialcontains:- (ceftazidime1.0gm),15,EachVialContains:- (Cepharadine500mg),0.99,auto_candidate
EachVialContains:- (Ceftazidime250mg),Eachvialcontains:- (ceftazidime250mg),15,EachVialContains:- (Cepharadine500mg),0.99,auto_candidate
EachVialContains:- (Ceftazidime500mg),Eachvialcontains:- (ceftazidime500mg),15,EachVialContains:- (Cepharadine500mg),0.99,auto_candidate
EachVialContains:- (Cefuroxime1.5gm),Eachvialcontains:- (cefuroxime1.5gm),15,EachVialContains:- (Cepharadine500mg),0.99,auto_candidate
EachVialContains:- (Cefuroxime250mg),Eachvialcontains:- (cefuroxime250mg),15,EachVialContains:- (Cepharadine500mg),0.99,auto_candidate
EachVialContains:- (Cefuroxime750mg),Eachvialcontains:- (cefuroxime750mg),15,EachVialContains:- (Cepharadine500mg),0.99,auto_candidate
EachVialContains:- (Cepharadine1.0gm),Eachvialcontains:- (cepharadine1.0gm),15,EachVialContains:- (Cepharadine500mg),0.99,auto_candidate
EachVialContains:- (Cepharadine250mg),Eachvialcontains:- (cepharadine250mg),15,EachVialContains:- (Cepharadine500mg),0.99,auto_candidate
EachVialContains:- (Cepharadine500mg),Eachvialcontains:- (cepharadine500mg),15,EachVialContains:- (Cepharadine500mg),0.99,auto_candidate
Imatinib mesilate Eq. to Imatinib,Imatinib Mesilate Eq To Imatinib,15,Imatinib mesilate Eq. to Imatinib,0.99,auto_candidate
imidocarb as dipropionate,Imidocarb As Dipropionate,15,imidocarb as dipropionate,0.99,auto_candidate
Lidocain as hydrochloride,Lidocain As Hydrochloride,15,Lidocain as hydrochloride,0.99,auto_candidate
Lymecycline 408mg eq. to Tetracycline,Lymecycline 408mg Eq To Tetracycline,15,Lymecycline 408mg eq. to Tetracycline,0.99,auto_candidate
Newcastle Disease Virus-Fusion(F) Protein,Newcastle Disease Virus-fusion(f) Protein,15,Newcastle Disease Virus-Fusion(F) Protein,0.99,auto_candidate
Pasireotide (as Pasireotide diaspartate),Pasireotide (as Pasireotide Diaspartate),15,Pasireotide (as Pasireotide diaspartate),0.99,auto_candidate
Pioglitazone + Glimepiride,Pioglitazone + Glimepiride,15,Pioglitazone + Glimepiride,0.99,auto_candidate
ron (III) hydroxide polymaltsoe complex eq. to elemental iron,Ron (iii) Hydroxide Polymaltsoe Complex Eq To Elemental Iron,15,ron (III) hydroxide polymaltsoe complex eq. to elemental iron,0.99,auto_candidate
Sterile Cefoperazone Sodium eq. to Cefoperazone,Sterile Cefoperazone Sodium Eq To Cefoperazone,15,Sterile Cefoperazone Sodium eq. to Cefoperazone,0.99,auto_candidate
Sterile Chloramphenicol Sodium Succinate eq. to Chloramphenicol Base,Sterile Chloramphenicol Sodium Succinate Eq To Chloramphenicol Base,15,Sterile Chloramphenicol Sodium Succinate eq. to Chloramphenicol Base,0.99,auto_candidate
Sterile Sulbactum Sodium eq. to Sulbactum,Sterile Sulbactum Sodium Eq To Sulbactum,15,Sterile Sulbactum Sodium eq. to Sulbactum,0.99,auto_candidate
Turkey Herpesvirus (HVT),Turkey Herpesvirus (hvt),15,Turkey Herpesvirus (HVT),0.99,auto_candidate
A1+++ (as AIPO4),A1 + + + (as Aipo4),15,A1+++ (as AIPO4),0.96,auto_candidate
-III Hydroxide Polymaltose complex equivalent to elemental Iron,-iii Hydroxide Polymaltose Complex Eq To Elemental Iron,15,Elemental Iron (III) as Iron Sucrose,0.92,review_candidate
Eflornithine (as hydrochloride monohydrate)....11.5% (Equivalent to Eflornithine Hydrochloride (as m,Eflornithine (as Hydrochloride Monohydrate)....11.5% (eq To Eflornithine Hydrochloride (as M,15,Eflornithine Hydrochloride (as monohydrate),0.92,review_candidate
Alendronate as sodium,Alendronate As Sodium,14,Alendronate(as Sodium),0.99,auto_candidate
Artemether/Lumefantrine,Artemether / Lumefantrine,14,Artemether / Lumefantrine,0.99,auto_candidate
Bosentan (as Monohydrate),Bosentan (as Monohydrate),14,Bosentan (as Monohydrate),0.99,auto_candidate
Cefdroxil as (Monohydrate) USP,Cefdroxil As (monohydrate) Usp,14,Cefdroxil as (Monohydrate) USP,0.99,auto_candidate
Cefepime as HCl with L- Arginine,Cefepime As Hcl With L- Arginine,14,cefepime as HCL,0.99,auto_candidate
Cefepime HCl with L-Arginine eq. to Cefepime,Cefepime Hcl With L-arginine Eq To Cefepime,14,Cefepime HCl with L-Arginine eq. to Cefepime,0.99,auto_candidate
Cefoprazone + Sulbactum,Cefoprazone + Sulbactum,14,Cefoprazone + Sulbactum,0.99,auto_candidate
Cefpirome sulphate with sodium carbonate eq to Cefpirome,Cefpirome Sulphate With Sodium Carbonate Eq To Cefpirome,14,Cefpirome sulphate with sodium carbonate eq to Cefpirome,0.99,auto_candidate
Ceftazidime pentahydrate with sodium carbonate eq. to Ceftazidime,Ceftazidime Pentahydrate With Sodium Carbonate Eq To Ceftazidime,14,Ceftazidime Pentahydrate with sodium carbonate eq. to Ceftazidime,0.99,auto_candidate
Freeze Dried Avian Infectious Bronchitis Disease virus (Massachusetts H-120 Strain) not less than,Freeze Dried Avian Infectious Bronchitis Disease Virus (massachusetts H-120 Strain) Not Less Than,14,Freeze Dried Avian Infectious Bronchitis Disease virus (Massachusetts H-120 Strain) not less than,0.99,auto_candidate
Gadobutrol (equivalent to 604.72mg Gadobutrol),Gadobutrol (eq To 604.72mg Gadobutrol),14,Gadobutrol (equivalent to 604.72mg Gadobutrol),0.99,auto_candidate
Inactivated Hydropericardium syndrome virus (adenovirus) not less than,Inactivated Hydropericardium Syndrome Virus (adenovirus) Not Less Than,14,Inactivated Hydropericardium syndrome virus (adenovirus) not less than,0.99,auto_candidate
Iron Polymaltose + Folic acid,Iron Polymaltose + Folic Acid,14,Iron Polymaltose + Folic acid,0.99,auto_candidate
Levofloxacine (as Hemihydrate),Levofloxacine (as Hemihydrate),14,Levofloxacine (as Hemihydrate),0.99,auto_candidate
Levofloxacine (As hemihydrates,Levofloxacine (as Hemihydrates,14,Levofloxacine (As hemihydrates,0.99,auto_candidate
Prednisolone.,Prednisolone.,14,Prednisolone as acetate,0.99,auto_candidate
Salbactum as Sodium,Salbactum As Sodium,14,Salbactum as Sodium,0.99,auto_candidate
Sterile clavulanate potassium eq. to clavulanic acid,Sterile Clavulanate Potassium Eq To Clavulanic Acid,14,Sterile clavulanate potassium eq. to clavulanic acid,0.99,auto_candidate
Sterile Lyophilized Gemcitabine HCl eq. to Gemcitabine,Sterile Lyophilized Gemcitabine Hcl Eq To Gemcitabine,14,Sterile Lyophilized Gemcitabine HCl eq. to Gemcitabine,0.99,auto_candidate
Sterile ticarcillin sodium eq. to ticarcillin,Sterile Ticarcillin Sodium Eq To Ticarcillin,14,Sterile ticarcillin sodium eq. to ticarcillin,0.99,auto_candidate
Clavulanic acid/ amoxicillin,Clavulanic Acid / Amoxicillin,14,Clavulanic acid/ amoxicillin,0.96,auto_candidate
Bovine respiratory syncytial Virus (BRSV),Bovine Respiratory Syncytial Virus (brsv),13,Bovine respiratory syncytial Virus (BRSV),0.99,auto_candidate
Bovine Rhinotracheitis Virus (IBR),Bovine Rhinotracheitis Virus (ibr),13,Bovine Rhinotracheitis Virus (IBR),0.99,auto_candidate
Bovine Virus Diarrhea Virus (BVD),Bovine Virus Diarrhea Virus (bvd),13,Bovine Virus Diarrhea Virus (BVD),0.99,auto_candidate
Calcipotril Hydrate eq. to Calcipotriol (Anhydrous),Calcipotril Hydrate Eq To Calcipotriol (anhydrous),13,Calcipotril Hydrate eq. to Calcipotriol (Anhydrous),0.99,auto_candidate
Carbopol (adjuvant 0.5%),Carbopol (adjuvant 0.5%),13,Carbopol (adjuvant 0.5%),0.99,auto_candidate
Control Released Pellets Containing Tamsulosin HCl eq. to Tamsulosin,Control Released Pellets Containing Tamsulosin Hcl Eq To Tamsulosin,13,Control Released Pellets Containing Tamsulosin HCl eq. to Tamsulosin,0.99,auto_candidate
"ENROFLOXACIN,","Enrofloxacin,",13,Enrofloxacin as HCl,0.99,auto_candidate
Ethylene diamine tetra acetic acid (chelating agent 14%),Ethylene Diamine Tetra Acetic Acid (chelating Agent 14%),13,Ethylene diamine tetra acetic acid (chelating agent 14%),0.99,auto_candidate
Fluphenazine as Decanoate,Fluphenazine As Decanoate,13,Fluphenazine as Decanoate,0.99,auto_candidate
Human Albumin (human plasma protein with at least 96% albumin),Human Albumin (human Plasma Protein With At Least 96% Albumin),13,Human Albumin (human plasma protein with at least 96% albumin),0.99,auto_candidate
Myxovirus parainfluenza3(PI3),Myxovirus Parainfluenza3(pi3),13,Myxovirus parainfluenza3(PI3),0.99,auto_candidate
Sulbactam(as Sodium),Sulbactam(as Sodium),13,sulbactam as sodium,0.99,auto_candidate
"Equine Influenza, strain A/Equi-2/Ohio/03","Equine Influenza, Strain A / Equi-2 / Ohio / 03",13,"Equine Influenza, strain A/Equi-2/Ohio/03",0.96,auto_candidate
"Equine Influenza, strain Kentucky/95, subtype A2","Equine Influenza, Strain Kentucky / 95, Subtype A2",13,"Equine Influenza, strain Kentucky/95, subtype A2",0.96,auto_candidate
"Equine Influenza, strain newmarket/2/93, subtype A2","Equine Influenza, Strain Newmarket / 2 / 93, Subtype A2",13,"Equine Influenza, strain newmarket/2/93, subtype A2",0.96,auto_candidate
Alprazolam.,Alprazolam.,12,ALPRAZOLAM,0.99,auto_candidate
Artemether and Lumefantrine,Artemether and Lumefantrine,12,Artemether and lumefantrine,0.99,auto_candidate
Atorvastatin as Calcium Trihydrate + Ezetimibe,Atorvastatin As Calcium Trihydrate + Ezetimibe,12,Atorvastatin(calcium trihydrate),0.99,auto_candidate
Bromocriptine as meshlate,Bromocriptine As Meshlate,12,Bromocriptine (as mesylate),0.99,auto_candidate
Cefepime as HCl with Sterile Arginine,Cefepime As Hcl With Sterile Arginine,12,cefepime as HCL,0.99,auto_candidate
Cefoperazone As sodium + Sulbactum as Sodium,Cefoperazone As Sodium + Sulbactum As Sodium,12,Cefoperazone as sodium + Sulbactam as sodium,0.99,auto_candidate
Cefoperazone sodium and Sulbactam Sodium,Cefoperazone Sodium and Sulbactam Sodium,12,Cefoperazone sodium and sulbactam sodium,0.99,auto_candidate
Dextropropoxyphene as HCL,Dextropropoxyphene As Hcl,12,Dextropropoxyphene as HCL,0.99,auto_candidate
Divalproex (as sodium),Divalproex (as Sodium),12,Divalproex as sodium,0.99,auto_candidate
Enteric coated pellets Duloxetine (as hydrochloride),Enteric Coated Pellets Duloxetine (as Hydrochloride),12,Enteric coated pellets Duloxetine (as hydrochloride),0.99,auto_candidate
hiamine HCI (Vitamin B1),Hiamine Hci (vitamin B1),12,hiamine HCI (Vitamin B1),0.99,auto_candidate
Cyclobenzaprine as hydrochloride,Cyclobenzaprine As Hydrochloride,11,Cyclobenzaprine (as HCl),0.99,auto_candidate
Dorzolamide as HCL + Timolol as Maleate,Dorzolamide As Hcl + Timolol As Maleate,11,Dorzolamide as HCL + Timolol as Maleate,0.99,auto_candidate
Glucosamine Sulphate as Potassium Chloride + Chondroitin Sulphate as Sodium,Glucosamine Sulphate As Potassium Chloride + Chondroitin Sulphate As Sodium,11,Glucosamine sulphate (as sodium chloride),0.99,auto_candidate
0.8% Mannitol Solution In Water For Injection.,0.8% Mannitol Solution In Water For Injection.,10,0.8% Mannitol Solution In Water For Injection.,0.99,auto_candidate
"1-ethyl-6-fluoro-1, 4 dihydro-4-oxo-7-(-1-piperazinyl)-3-quinoline carboxylic acid.","1-ethyl-6-fluoro-1, 4 Dihydro-4-oxo-7-(-1-piperazinyl)-3-quinoline Carboxylic Acid.",10,"1-ethyl-6-fluoro-1, 4 dihydro-4-oxo-7-(-1-piperazinyl)-3-quinoline carboxylic acid.",0.99,auto_candidate
280mg of Extended Release granules of anhydrous Theophylline eq to 200mg of USP Anhydrous Theophylli,280mg of Extended Release Granules of Anhydrous Theophylline Eq To 200mg of Usp Anhydrous Theophylli,10,280mg of Extended Release granules of anhydrous Theophylline eq to 200mg of USP Anhydrous Theophylli,0.99,auto_candidate
Acepromazine as Maleate,Acepromazine As Maleate,10,Acepromazine as Maleate,0.99,auto_candidate
Acetylsalicyclic Acid (Aspirin),Acetylsalicyclic Acid (aspirin),10,Acetylsalicyclic Acid (Aspirin),0.99,auto_candidate
Ambroxol as HCl,Ambroxol As Hcl,10,Ambroxol as HCl,0.99,auto_candidate
Amlodipine (as Besylate) + Atorvastatin (as Calcium Trihydrate),Amlodipine (as Besylate) + Atorvastatin (as Calcium Trihydrate),10,Amlodipine (as Besylate) + Atorvastatin (as Calcium Trihydrate),0.99,auto_candidate
Anhydrous benzoyl peroxide (as hydrous benzoyl peroxide),Anhydrous Benzoyl Peroxide (as Hydrous Benzoyl Peroxide),10,Anhydrous benzoyl peroxide (as hydrous benzoyl peroxide),0.99,auto_candidate
Artemether 20 + Lumefantrine 120mg,Artemether 20 + Lumefantrine 120mg,10,Artemether 20 + Lumefantrine 120mg,0.99,auto_candidate
Artemether+ Lumefantrine,Artemether + Lumefantrine,10,Artemether + Lumefantrine,0.99,auto_candidate
Atorvasatin as calcium trihydrate,Atorvasatin As Calcium Trihydrate,10,Atorvasatin as calcium trihydrate,0.99,auto_candidate
Atorvastatin(as calcium trihydrated salt),Atorvastatin(as Calcium Trihydrated Salt),10,Atorvastatin(calcium trihydrate),0.99,auto_candidate
Avian Influenza Inactivated virus (H7 serotype),Avian Influenza Inactivated Virus (h7 Serotype),10,Avian influenza inactivated virus (H9 serotype),0.99,auto_candidate
Avian Influenza Inactivated virus (H9 serotype),Avian Influenza Inactivated Virus (h9 Serotype),10,Avian influenza inactivated virus (H9 serotype),0.99,auto_candidate
Azithromycine (as dihydrate),Azithromycine (as Dihydrate),10,Azithromycine (as dihydrate),0.99,auto_candidate
Belimumab(Human IgG 1? monoclonal antibody),Belimumab(human Igg 1 Monoclonal Antibody),10,Belimumab(Human IgG 1? monoclonal antibody),0.99,auto_candidate
Bosentan monohydrate eq to Bosentan,Bosentan Monohydrate Eq To Bosentan,10,Bosentan monohydrate eq to Bosentan,0.99,auto_candidate
Bromocriptine (as mesylate),Bromocriptine (as Mesylate),10,Bromocriptine (as mesylate),0.99,auto_candidate
Cefepime as (Hcl) with L-Arginine),Cefepime As (hcl) With L-arginine),10,cefepime as HCL,0.99,auto_candidate
Cefepime HCl eq to Cefepime with L-arginine,Cefepime Hcl Eq To Cefepime With L-arginine,10,Cefepime HCl eq to Cefepime with L-arginine,0.99,auto_candidate
Cefepime with L-Arginine eq. to Cefepime,Cefepime With L-arginine Eq To Cefepime,10,Cefepime with L-Arginine eq. to Cefepime,0.99,auto_candidate
Cefoperazone as Sodium+Sulbactam as Sodium,Cefoperazone As Sodium + Sulbactam As Sodium,10,Cefoperazone as sodium + Sulbactam as sodium,0.99,auto_candidate
Cefoperazone Sodium and Sulbactam Sodium (1:1),Cefoperazone Sodium and Sulbactam Sodium (1:1),10,Cefoperazone sodium and sulbactam sodium,0.99,auto_candidate
cefoperazone sodium eq.to cefoperazone 1000mg + sulbactam sodium eq. to sulbactam 1000mg,Cefoperazone Sodium Eq To Cefoperazone 1000mg + Sulbactam Sodium Eq To Sulbactam 1000mg,10,Cefoperazone sodium eq. to Cefoperazone,0.99,auto_candidate
cefoperazone sodium eq.to cefoperazone 500mg + sulbactam sodium eq. to sulbactam 500mg,Cefoperazone Sodium Eq To Cefoperazone 500mg + Sulbactam Sodium Eq To Sulbactam 500mg,10,Cefoperazone sodium eq. to Cefoperazone,0.99,auto_candidate
Cefoprazone (as sodium),Cefoprazone (as Sodium),10,Cefoprazone (as sodium),0.99,auto_candidate
Cefpodoxime...(as Proxetil)....100mg,Cefpodoxime...(as Proxetil)....100mg,10,Cefpodoxime...(as Proxetil)....100mg,0.99,auto_candidate
Cefpodoxime...(as Proxetil)....40mg,Cefpodoxime...(as Proxetil)....40mg,10,Cefpodoxime...(as Proxetil)....40mg,0.99,auto_candidate
Cefprozol as Monohydrate,Cefprozol As Monohydrate,10,Cefprozol as Monohydrate,0.99,auto_candidate
Ceftazidime Pentahydrate with Sodium Carbonate anhydrous,Ceftazidime Pentahydrate With Sodium Carbonate Anhydrous,10,Ceftazidime Pentahydrate with Sodium Carbonate anhydrous,0.99,auto_candidate
Ceftazidime Pentahydrate with sodium carbonate eq. to Ceftazidime,Ceftazidime Pentahydrate With Sodium Carbonate Eq To Ceftazidime,10,Ceftazidime Pentahydrate with sodium carbonate eq. to Ceftazidime,0.99,auto_candidate
Certoparin Sodium (Anti-Xa),Certoparin Sodium (anti-xa),10,Certoparin Sodium (Anti-Xa),0.99,auto_candidate
citalopram(as HBr),Citalopram(as Hbr),10,citalopram,0.99,auto_candidate
CItirizine as HCL,Citirizine As Hcl,10,CItirizine as HCL,0.99,auto_candidate
Clomipramine as HCl,Clomipramine As Hcl,10,Clomipramine as HCl,0.99,auto_candidate
Cloprosterol Vet 263ug eq to Cloprostenol 250ug,Cloprosterol Vet 263ug Eq To Cloprostenol 250ug,10,Cloprosterol Vet 263ug eq to Cloprostenol 250ug,0.99,auto_candidate
Cryoprotectant No.1 + HVT / NDV and Rispens CV1988 strains,Cryoprotectant No.1 + Hvt / Ndv and Rispens Cv1988 Strains,10,Cryoprotectant No.1 + HVT / NDV and Rispens CV1988 strains,0.99,auto_candidate
Cryoprotectant No.1 + HVT and Rispens CV1988 Strains,Cryoprotectant No.1 + Hvt and Rispens Cv1988 Strains,10,Cryoprotectant No.1 + HVT and Rispens CV1988 Strains,0.99,auto_candidate
Dexamethasone(in the form of Disodium Salt),Dexamethasone(in The Form of Disodium Salt),10,Dexamethasone as Sodium Phosphate,0.99,auto_candidate
Diclofenac sodium (as sustained release pellets 45% w/w),Diclofenac Sodium (as Sustained Release Pellets 45% W / W),10,diclofenac sodium,0.99,auto_candidate
dl-α-tocopherol acetate (Ph. Eur.),Dl-α-tocopherol Acetate (ph. Eur.),10,dl-α-tocopherol acetate (Ph. Eur.),0.99,auto_candidate
Each 100ml Contains: Dextrose Monohydrate eq. to Anhydrous Dextrose,Each 100ml Contains: Dextrose Monohydrate Eq To Anhydrous Dextrose,10,Each 100ml Contains: Dextrose Monohydrate eq. to Anhydrous Dextrose,0.99,auto_candidate
each 15ml contain iron protein succinylate 800mg eq to elemental iron 40mg,Each 15ml Contain Iron Protein Succinylate 800mg Eq To Elemental Iron 40mg,10,each 15ml contain iron protein succinylate 800mg eq to elemental iron 40mg,0.99,auto_candidate
Each capsule contains: Diclofenac Sodium (enteric coated pellets),Each Capsule Contains: Diclofenac Sodium (enteric Coated Pellets),10,Each capsule contains: Diclofenac Sodium (enteric coated pellets),0.99,auto_candidate
Each chewable tablet contains: Iron (III) hydroxide polymaltose complex equivalent and Folic acid,Each Chewable Tablet Contains: Iron (iii) Hydroxide Polymaltose Complex Equivalent and Folic Acid,10,Each chewable tablet contains: Iron (III) hydroxide polymaltose complex equivalent and Folic acid,0.99,auto_candidate
Each chewable tablet contains: Montelukast (as Sodium)….4mg,Each Chewable Tablet Contains: Montelukast (as Sodium)….4mg,10,Each chewable tablet contains: Montelukast (as Sodium)….4mg,0.99,auto_candidate
Each film coated tablet contains: Escitalopram (as oxalate).....10mg,Each Film Coated Tablet Contains: Escitalopram (as Oxalate).....10mg,10,Each film coated tablet contains: Escitalopram (as oxalate).....10mg,0.99,auto_candidate
Each film coated tablet contains: Levocetirizine dihydrochloride….5mg (USP specifications),Each Film Coated Tablet Contains: Levocetirizine Dihydrochloride….5mg (usp Specifications),10,Each film coated tablet contains: Levocetirizine dihydrochloride….5mg (USP specifications),0.99,auto_candidate
Each film- coated tablet contains: Montelukast (as Sodium)….10mg,Each Film- Coated Tablet Contains: Montelukast (as Sodium)….10mg,10,Each film- coated tablet contains: Montelukast (as Sodium)….10mg,0.99,auto_candidate
Each vial contains: Cefipime (as HCL)...1gm,Each Vial Contains: Cefipime (as Hcl)...1gm,10,Each vial contains: Cefipime (as HCL)...1gm,0.99,auto_candidate
Each vial contains: Cefoperazone (as sodium)...500mg Sulbactam ( as sodium)....500mg,Each Vial Contains: Cefoperazone (as Sodium)...500mg Sulbactam ( As Sodium)....500mg,10,Each vial contains: Cefoperazone (as sodium)...500mg Sulbactam ( as sodium)....500mg,0.99,auto_candidate
efoperazone as sodium,Efoperazone As Sodium,10,efoperazone as sodium,0.99,auto_candidate
Elemental Calcium (as Calcium Lactate Pentahydrate 134mg and TriCalcium Phosphate 300mg),Elemental Calcium (as Calcium Lactate Pentahydrate 134mg and Tricalcium Phosphate 300mg),10,elemental calcium,0.99,auto_candidate
Emedastine (as difumerate),Emedastine (as Difumerate),10,Emedastine (as difumerate),0.99,auto_candidate
Emedastine Difumerate eq. to Emedastine,Emedastine Difumerate Eq To Emedastine,10,Emedastine Difumerate eq. to Emedastine,0.99,auto_candidate
Enteric Coated Pellets of Esomeprazole Magnesium Trihydrate Eq. to Esomeprazole,Enteric Coated Pellets of Esomeprazole Magnesium Trihydrate Eq To Esomeprazole,10,Enteric Coated Pellets of Esomeprazole Magnesium Trihydrate Eq. to Esomeprazole,0.99,auto_candidate
Enteric coated taste mask pellets of Clarithromycin eq. to Clarithromycin,Enteric Coated Taste Mask Pellets of Clarithromycin Eq To Clarithromycin,10,Enteric coated taste mask pellets of Clarithromycin eq. to Clarithromycin,0.99,auto_candidate
Erlotinib Hcl Eq To Erlotinib,Erlotinib Hcl Eq To Erlotinib,10,Erlotinib Hcl Eq To Erlotinib,0.99,auto_candidate
Esomeprazol manessium as trihydrate(Pellets),Esomeprazol Manessium As Trihydrate(pellets),10,Esomeprazol manessium as trihydrate(Pellets),0.99,auto_candidate
Esomperazole (as magnesium trihydrate) enteric coated granules,Esomperazole (as Magnesium Trihydrate) Enteric Coated Granules,10,Esomperazole (as magnesium trihydrate) enteric coated granules,0.99,auto_candidate
Ferrous Fumarate / Folic Acid,Ferrous Fumarate / Folic Acid,10,Ferrous Fumarate / Folic Acid,0.99,auto_candidate
Flupentixol (as dihydrochloride,Flupentixol (as Dihydrochloride,10,Flupentixol (as dihydrochloride,0.99,auto_candidate
